Plane	Strip	MeanFit	Mean
9	20	6.49	6.49
9	21	6.49	6.49
9	22	6.49	6.49
9	23	6.49	6.49
9	24	6.49	6.49
9	25	6.49	6.49
9	26	6.49	6.49
9	27	6.49	6.49
9	28	6.49	6.49
9	29	6.49	6.49
9	30	6.49	6.49
9	31	6.49	6.49
9	32	6.49	6.49
9	33	6.49	6.49
9	34	6.49	6.49
9	35	6.49	6.49
9	36	6.49	6.49
9	37	6.49	6.49
9	38	6.49	6.49
9	39	6.49	6.49
9	40	6.49	6.49
9	41	6.49	6.49
9	42	6.49	6.49
9	43	6.49	6.49
9	44	6.49	6.49
9	45	6.49	6.49
9	46	6.49	6.49
9	47	6.49	6.49
10	0	0.093	0.093
10	1	0.093	0.093
10	2	0.093	0.093
10	3	0.093	0.093
10	4	0.093	0.093
10	5	0.093	0.093
10	6	0.093	0.093
10	7	0.093	0.093
10	8	0.093	0.093
10	9	0.093	0.093
10	10	0.093	0.093
10	11	0.093	0.093
10	12	0.093	0.093
10	13	0.093	0.093
10	14	0.093	0.093
10	15	0.093	0.093
10	16	0.093	0.093
10	17	0.093	0.093
10	18	0.093	0.093
10	19	0.093	0.093
10	20	0.093	0.093
10	21	0.093	0.093
10	22	0.093	0.093
10	23	0.093	0.093
10	24	0.093	0.093
10	25	0.093	0.093
10	26	0.093	0.093
10	27	0.093	0.093
10	28	0.093	0.093
10	29	0.093	0.093
10	30	0.093	0.093
10	31	0.093	0.093
10	32	0.093	0.093
10	33	0.093	0.093
10	34	0.093	0.093
10	35	0.093	0.093
10	36	0.093	0.093
10	37	0.093	0.093
10	38	0.093	0.093
10	39	0.093	0.093
10	40	0.093	0.093
10	41	0.093	0.093
10	42	0.093	0.093
10	43	0.093	0.093
10	44	0.093	0.093
10	45	0.093	0.093
10	46	0.093	0.093
10	47	0.093	0.093
11	0	0.055	0.055
11	1	0.055	0.055
11	2	0.055	0.055
11	3	0.055	0.055
11	4	0.055	0.055
11	5	0.055	0.055
11	6	0.055	0.055
11	7	0.055	0.055
11	8	0.055	0.055
11	9	0.055	0.055
11	10	0.055	0.055
11	11	0.055	0.055
11	12	0.055	0.055
11	13	0.055	0.055
11	14	0.055	0.055
11	15	0.055	0.055
11	16	0.055	0.055
11	17	0.055	0.055
11	18	0.055	0.055
11	19	0.055	0.055
11	20	0.055	0.055
11	21	0.055	0.055
11	22	0.055	0.055
11	23	0.055	0.055
11	24	0.055	0.055
11	25	0.055	0.055
11	26	0.055	0.055
11	27	0.055	0.055
11	28	0.055	0.055
11	29	0.055	0.055
11	30	0.055	0.055
11	31	0.055	0.055
11	32	0.055	0.055
11	33	0.055	0.055
11	34	0.055	0.055
11	35	0.055	0.055
11	36	0.055	0.055
11	37	0.055	0.055
11	38	0.055	0.055
11	39	0.055	0.055
11	40	0.055	0.055
11	41	0.055	0.055
11	42	0.055	0.055
11	43	0.055	0.055
11	44	0.055	0.055
11	45	0.055	0.055
11	46	0.055	0.055
11	47	0.055	0.055
12	0	2.21	2.21
12	1	2.21	2.21
12	2	2.21	2.21
12	3	2.21	2.21
12	4	2.21	2.21
12	5	2.21	2.21
12	6	2.21	2.21
12	7	2.21	2.21
12	8	2.21	2.21
12	9	2.21	2.21
12	10	2.21	2.21
12	11	2.21	2.21
12	12	2.21	2.21
12	13	2.21	2.21
12	14	2.21	2.21
12	15	2.21	2.21
12	16	2.21	2.21
12	17	2.21	2.21
12	18	2.21	2.21
12	19	2.21	2.21
12	20	2.21	2.21
12	21	2.21	2.21
12	22	2.21	2.21
12	23	2.21	2.21
12	24	2.21	2.21
12	25	2.21	2.21
12	26	2.21	2.21
12	27	2.21	2.21
12	28	2.21	2.21
12	29	2.21	2.21
12	30	2.21	2.21
12	31	2.21	2.21
12	32	2.21	2.21
12	33	2.21	2.21
12	34	2.21	2.21
12	35	2.21	2.21
12	36	2.21	2.21
12	37	2.21	2.21
12	38	2.21	2.21
12	39	2.21	2.21
12	40	2.21	2.21
12	41	2.21	2.21
12	42	2.21	2.21
12	43	2.21	2.21
12	44	2.21	2.21
12	45	2.21	2.21
12	46	2.21	2.21
12	47	2.21	2.21
13	0	6.59	6.59
13	1	6.59	6.59
13	2	6.59	6.59
13	3	6.59	6.59
13	4	6.59	6.59
13	5	6.59	6.59
13	6	6.59	6.59
13	7	6.59	6.59
13	8	6.59	6.59
13	9	6.59	6.59
13	10	6.59	6.59
13	11	6.59	6.59
13	12	6.59	6.59
13	13	6.59	6.59
13	14	6.59	6.59
13	15	6.59	6.59
13	16	6.59	6.59
13	17	6.59	6.59
13	18	6.59	6.59
13	19	6.59	6.59
13	20	6.59	6.59
13	21	6.59	6.59
13	22	6.59	6.59
13	23	6.59	6.59
13	24	6.59	6.59
13	25	6.59	6.59
13	26	6.59	6.59
13	27	6.59	6.59
13	28	6.59	6.59
13	29	6.59	6.59
13	30	6.59	6.59
13	31	6.59	6.59
13	32	6.59	6.59
13	33	6.59	6.59
13	34	6.59	6.59
13	35	6.59	6.59
13	36	6.59	6.59
13	37	6.59	6.59
13	38	6.59	6.59
13	39	6.59	6.59
13	40	6.59	6.59
13	41	6.59	6.59
13	42	6.59	6.59
13	43	6.59	6.59
13	44	6.59	6.59
13	45	6.59	6.59
13	46	6.59	6.59
13	47	6.59	6.59
14	0	6.51	6.51
14	1	6.51	6.51
14	2	6.51	6.51
14	3	6.51	6.51
14	4	6.51	6.51
14	5	6.51	6.51
14	6	6.51	6.51
14	7	6.51	6.51
14	8	6.51	6.51
14	9	6.51	6.51
14	10	6.51	6.51
14	11	6.51	6.51
14	12	6.51	6.51
14	13	6.51	6.51
14	14	6.51	6.51
14	15	6.51	6.51
14	16	6.51	6.51
14	17	6.51	6.51
14	18	6.51	6.51
14	19	6.51	6.51
14	20	6.51	6.51
14	21	6.51	6.51
14	22	6.51	6.51
14	23	6.51	6.51
14	24	6.51	6.51
14	25	6.51	6.51
14	26	6.51	6.51
14	27	6.51	6.51
14	28	6.51	6.51
14	29	6.51	6.51
14	30	6.51	6.51
14	31	6.51	6.51
14	32	6.51	6.51
14	33	6.51	6.51
14	34	6.51	6.51
14	35	6.51	6.51
14	36	6.51	6.51
14	37	6.51	6.51
14	38	6.51	6.51
14	39	6.51	6.51
14	40	6.51	6.51
14	41	6.51	6.51
14	42	6.51	6.51
14	43	6.51	6.51
14	44	6.51	6.51
14	45	6.51	6.51
14	46	6.51	6.51
14	47	6.51	6.51
15	0	0	0
15	1	0	0
15	2	0	0
15	3	0	0
15	4	0	0
15	5	0	0
15	6	0	0
15	7	0	0
15	8	0	0
15	9	0	0
15	10	0	0
15	11	0	0
15	12	0	0
15	13	0	0
15	14	0	0
15	15	0	0
15	16	0	0
15	17	0	0
15	18	0	0
15	19	0	0
15	20	0	0
15	21	0	0
15	22	0	0
15	23	0	0
15	24	0	0
15	25	0	0
15	26	0	0
15	27	0	0
15	28	0	0
15	29	0	0
15	30	0	0
15	31	0	0
15	32	0	0
15	33	0	0
15	34	0	0
15	35	0	0
15	36	0	0
15	37	0	0
15	38	0	0
15	39	0	0
15	40	0	0
15	41	0	0
15	42	0	0
15	43	0	0
15	44	0	0
15	45	0	0
15	46	0	0
15	47	0	0
16	0	-0.03	-0.03
16	1	-0.03	-0.03
16	2	-0.03	-0.03
16	3	-0.03	-0.03
16	4	-0.03	-0.03
16	5	-0.03	-0.03
16	6	-0.03	-0.03
16	7	-0.03	-0.03
16	8	-0.03	-0.03
16	9	-0.03	-0.03
16	10	-0.03	-0.03
16	11	-0.03	-0.03
16	12	-0.03	-0.03
16	13	-0.03	-0.03
16	14	-0.03	-0.03
16	15	-0.03	-0.03
16	16	-0.03	-0.03
16	17	-0.03	-0.03
16	18	-0.03	-0.03
16	19	-0.03	-0.03
16	20	-0.03	-0.03
16	21	-0.03	-0.03
16	22	-0.03	-0.03
16	23	-0.03	-0.03
16	24	-0.03	-0.03
16	25	-0.03	-0.03
16	26	-0.03	-0.03
16	27	-0.03	-0.03
16	28	-0.03	-0.03
16	29	-0.03	-0.03
16	30	-0.03	-0.03
16	31	-0.03	-0.03
16	32	-0.03	-0.03
16	33	-0.03	-0.03
16	34	-0.03	-0.03
16	35	-0.03	-0.03
16	36	-0.03	-0.03
16	37	-0.03	-0.03
16	38	-0.03	-0.03
16	39	-0.03	-0.03
16	40	-0.03	-0.03
16	41	-0.03	-0.03
16	42	-0.03	-0.03
16	43	-0.03	-0.03
16	44	-0.03	-0.03
16	45	-0.03	-0.03
16	46	-0.03	-0.03
16	47	-0.03	-0.03
17	0	2.07	2.07
17	1	2.07	2.07
17	2	2.07	2.07
17	3	2.07	2.07
17	4	2.07	2.07
17	5	2.07	2.07
17	6	2.07	2.07
17	7	2.07	2.07
17	8	2.07	2.07
17	9	2.07	2.07
17	10	2.07	2.07
17	11	2.07	2.07
17	12	2.07	2.07
17	13	2.07	2.07
17	14	2.07	2.07
17	15	2.07	2.07
17	16	2.07	2.07
17	17	2.07	2.07
17	18	2.07	2.07
17	19	2.07	2.07
17	20	2.07	2.07
17	21	2.07	2.07
17	22	2.07	2.07
17	23	2.07	2.07
17	24	2.07	2.07
17	25	2.07	2.07
17	26	2.07	2.07
17	27	2.07	2.07
17	28	2.07	2.07
17	29	2.07	2.07
17	30	2.07	2.07
17	31	2.07	2.07
17	32	2.07	2.07
17	33	2.07	2.07
17	34	2.07	2.07
17	35	2.07	2.07
17	36	2.07	2.07
17	37	2.07	2.07
17	38	2.07	2.07
17	39	2.07	2.07
17	40	2.07	2.07
17	41	2.07	2.07
17	42	2.07	2.07
17	43	2.07	2.07
17	44	2.07	2.07
17	45	2.07	2.07
17	46	2.07	2.07
17	47	2.07	2.07
18	0	6.47	6.47
18	1	6.47	6.47
18	2	6.47	6.47
18	3	6.47	6.47
18	4	6.47	6.47
18	5	6.47	6.47
18	6	6.47	6.47
18	7	6.47	6.47
18	8	6.47	6.47
18	9	6.47	6.47
18	10	6.47	6.47
18	11	6.47	6.47
18	12	6.47	6.47
18	13	6.47	6.47
18	14	6.47	6.47
