Plane	Strip	MeanFit	Mean
19	2	-6.72656	-6.72656
19	3	-6.9375	-6.9375
19	4	-6.75	-6.75
19	5	-6.72656	-6.72656
19	6	-6.75	-6.75
19	7	-6.89063	-6.89062
19	8	-6.65625	-6.65625
19	9	-6.79687	-6.79688
19	10	-6.86719	-6.86719
19	11	-6.70312	-6.70312
19	12	-6.72656	-6.72656
19	13	-6.91406	-6.91406
19	14	-6.9375	-6.9375
19	15	-6.79687	-6.79688
19	16	-6.84375	-6.84375
19	17	-6.98437	-6.98438
19	18	-6.65625	-6.65625
19	19	-6.91406	-6.91406
19	20	-6.70313	-6.70312
19	21	-6.65625	-6.65625
19	22	-6.9375	-6.9375
19	23	-6.89062	-6.89062
19	24	-6.70313	-6.70312
19	25	-6.5625	-6.5625
19	26	-6.86719	-6.86719
19	27	-6.79688	-6.79688
19	28	-6.67969	-6.67969
19	29	-6.91406	-6.91406
19	30	-6.60937	-6.60938
19	31	-6.75	-6.75
19	32	-6.75	-6.75
19	33	-6.65625	-6.65625
19	34	-6.63281	-6.63281
19	35	-6.79688	-6.79688
19	36	-6.86719	-6.86719
19	37	-6.75	-6.75
19	38	-6.82031	-6.82031
19	39	-6.91406	-6.91406
19	40	-6.67969	-6.67969
19	41	-6.77344	-6.77344
19	42	-6.77344	-6.77344
19	43	-6.75	-6.75
19	44	-6.63281	-6.63281
19	45	-6.75	-6.75
19	46	-6.79687	-6.79688
19	47	-6.63281	-6.63281
