Plane	Strip	Efrain_Correction	Old_Correction
8	34	21.782	21.782
8	35	21.782	21.782
8	36	21.782	21.782
8	37	21.782	21.782
8	38	1.46174	21.782
8	39	21.782	21.782
8	40	21.782	21.782
8	41	21.782	21.782
8	42	21.782	21.782
8	43	21.782	21.782
8	44	21.782	21.782
8	45	21.782	21.782
8	46	21.782	21.782
8	47	21.782	21.782
9	0	-11.9	-11.9
9	1	21.782	21.782
9	2	21.782	21.782
9	3	21.782	21.782
9	4	21.782	21.782
9	5	21.782	21.782
9	6	21.782	21.782
9	7	21.782	21.782
9	8	21.782	21.782
9	9	21.782	21.782
9	10	21.782	21.782
9	11	21.782	21.782
9	12	21.782	21.782
9	13	21.782	21.782
9	14	21.782	21.782
9	15	21.782	21.782
9	16	21.782	21.782
9	17	21.782	21.782
9	18	21.782	21.782
9	19	21.782	21.782
9	20	21.782	21.782
9	21	21.782	21.782
9	22	21.782	21.782
9	23	21.782	21.782
9	24	21.782	21.782
9	25	21.782	21.782
9	26	21.782	21.782
9	27	21.782	21.782
9	28	21.782	21.782
9	29	21.782	21.782
9	30	21.782	21.782
9	31	21.782	21.782
9	32	21.782	21.782
9	33	21.782	21.782
9	34	21.782	21.782
9	35	21.782	21.782
9	36	21.782	21.782
9	37	21.782	21.782
9	38	21.782	21.782
9	39	21.782	21.782
9	40	21.782	21.782
9	41	21.782	21.782
9	42	21.782	21.782
9	43	21.782	21.782
9	44	21.782	21.782
9	45	21.782	21.782
9	46	21.782	21.782
9	47	21.782	21.782
