Plane	Strip	Efrain_Shift	Old_Shift
8	0	-11.9	-11.9
8	1	0	0.738281
8	2	0	0
8	3	0	0
8	4	0	0
8	5	0	0
8	6	0	0
8	7	0	0
8	8	0	0
8	9	0	0
8	10	0	0
8	11	0	0
8	12	0	0
8	13	0	0
8	14	0	0
8	15	0	0
8	16	0	0
8	17	0	0
8	18	0	0
8	19	0	0
8	20	0	0
8	21	0	0
8	22	0	0
8	23	0	0
8	24	0	0
8	25	0	0
8	26	0	0
8	27	0	0
8	28	0	0
8	29	0	0
8	30	0	0
8	31	0	0
8	32	0	0
8	33	0	0.972656
8	34	0	0
8	35	0	0
8	36	0	0
8	37	0	0
8	38	0	0.105469
8	39	0	0.667969
8	40	0	0
8	41	0	0
8	42	0	0
8	43	0	0
8	44	0	0
8	45	0	0
8	46	0	0
8	47	-11.9	-11.9
9	0	-11.9	-11.9
9	1	0	0
9	2	0	0
9	3	0	0
9	4	0	0
9	5	0	0
9	6	0	0
9	7	0	0
9	8	0	0
9	9	0	0
9	10	0	0
9	11	0	0
9	12	0	0
9	13	0	0
9	14	0	0
9	15	0	0
9	16	0	0
9	17	0	0
9	18	0	0
9	19	0	0
9	20	0	0
9	21	0	0
9	22	0	0
9	23	0	0
9	24	0	0
9	25	0	0
9	26	0	0
9	27	0	0
9	28	0	0
9	29	0	0
9	30	0	0
9	31	0	0
9	32	0	0
9	33	0	0
9	34	0	0
9	35	0	0
9	36	0	0
9	37	0	0
9	38	0	0
9	39	0	0
9	40	0	0
9	41	0	0
9	42	0	0
9	43	0	0
9	44	0	0
9	45	0	0
9	46	0	0
9	47	-11.9	-11.9
